//拉切尔 2015-01-27
结束 [X]
换行 [NL]
换2行 [2NL]
按A键继续 [A]
说话过程中短停顿 [....]
说话过程中稍长停顿（推荐） [.....]
说话过程中更长停顿 [......]
说话过程中长停顿 [.......]
在左边再偏左位置打开对话框 [OpenFarLeft]
在中间偏左位置打开对话框 [OpenMidLeft]
在左边位置打开对话框 [OpenLeft]
在右边位置打开对话框 [OpenRight]
在中间偏右位置打开对话框 [OpenMidRight]
在右边再偏右位置打开对话框 [OpenFarRight]
在最左边打开对话框 [OpenFarFarLeft]
在最右边打开对话框 [OpenFarFarRight]
载入头像 [LoadFace]
清除当前说话者头像 [ClearFace]
快速关闭对话框 [CloseSpeechFast]
慢速关闭对话框 [CloseSpeechSlow]
使人物嘴巴开始活动或停止活动 [ToggleMouthMove]
使人物开始微笑或者停止微笑 [ToggleSmile]
给出是/否选项（默认选是） [Yes]
给出是/否选项（默认选否） [No]
给出买/卖框（非商店使用会当机） [Buy/Sell]
使选中人物退居后面 [SendToBack]
短暂停顿（打字声依然播放） [.]
载入大地图头像 [LoadOverworldFaces]
显示持有金钱数目 [G]
移动到左边偏左的位置 [MoveFarLeft]
移动到中间偏左的位置 [MoveMidLeft]
移动到左边位置 [MoveLeft]
移动到右边位置 [MoveRight]
移动到中间偏右位置 [MoveMidRight]
移动到右边偏右位置 [MoveFarRight]
移动到最左边 [MoveFarFarLeft]
移动到最右边 [MoveFarFarRight]
允许眨眼 [EnableBlinking]
延迟眨眼 [DelayBlinking]
停顿眨眼 [PauseBlinking]
禁止眨眼 [DisableBlinking]
睁眼（从半闭状态下） [OpenEyes]
闭眼 [CloseEyes]
半闭眼 [HalfCloseEyes]
眨一只眼 [Wink]
显示军师姓名 [Tact]
2个此标记符之间的文字显示为红色 [ToggleRed]
显示载入物品的名字 [Item]
设置说话者名字 [SetName]
对话框反色（黑底白字） [ToggleColorInvert]

//注意：
//1、人物头像已经在某个位置了既不要再用指令移到这个位置
//2、不要移动头像到已经有人占的位置
//3、一屏最多显示4个人的头像需要载入第5个人的头像需要先清掉一个人的头像
